untiID,value,sentiment_negative,sentiment_neutral,sentiment_positive,sentiment_skip,sentiment_speech,ner,answer_len,upper_case_word_count,punctuation_count,char_count,word_count,word_density,stopword_count
10003,xcxc,0,1,0,0,0,1,4,0,0,4,1,2.0,0
10003,dfxfgd,0,1,0,0,0,0,6,0,0,6,1,3.0,0
10003,dfhjdh,0,1,0,0,0,0,6,0,0,6,1,3.0,0
26064,кажется ничему,0,1,0,0,0,1,14,0,0,14,2,4.666666666666667,0
26064,кажется нет,0,1,0,0,0,0,11,0,0,11,2,3.6666666666666665,1
26064,хороший демодей!,0,0,1,0,0,0,16,0,1,16,2,5.333333333333333,0
82017,Научилась много чему новому,0,1,0,0,0,0,27,1,0,27,4,5.4,1
82017,Однозначно была,0,1,0,0,0,0,15,1,0,15,2,5.0,1
83860,Привязке доски trello к P&T,0,1,0,0,0,1,27,2,1,27,5,4.5,1
83860,"В новом знании о том, как тяжело нашим студентам...",1,0,0,0,0,0,51,1,4,51,9,5.1,3
83860,0,0,1,0,0,0,0,1,0,0,1,1,0.5,0
10900,как начать работать ,0,1,0,0,0,0,20,0,0,20,3,5.0,1
10900,сократило мне время на разбираться самому,0,1,0,0,0,0,41,0,0,41,6,5.857142857142857,2
10900,нет,0,1,0,0,0,1,3,0,0,3,1,1.5,1
21127,"Быть в роли Цезаря:
1. Сидеть на нескольких стульях.
2. Держать ухо востро.
3. Удерживать несколько позиций, задач, контекстов.
4. Отслеживать путь остальных членов команды.
",0,1,0,0,0,0,174,6,11,174,25,6.6923076923076925,3
21127,"Проверка сценариев студентов на платформе Университета 2035, по которым я впоследствии буду консультировать их в Службе сопровождения.",0,1,0,0,0,0,134,3,2,134,17,7.444444444444445,5
21127,Подробные комментарии предоставлю организаторам по итогам демодня.,0,1,0,0,0,0,66,1,1,66,7,8.25,1
52942,отвечать на сложные вопросы,0,1,0,0,0,0,27,0,0,27,4,5.4,1
52942,в русском языке,0,1,0,0,0,0,15,0,0,15,3,3.75,1
52942,поменять рефлексию,0,1,0,0,0,0,18,0,0,18,2,6.0,0
85,Ничему,0,1,0,0,0,1,6,1,0,6,1,3.0,0
85,"Ну, тестировали платформу...",0,1,0,0,0,0,28,1,4,28,3,7.0,0
85,"Размытый вопрос. Не знаю, какие ещё комментарии нужны.",0,1,0,0,0,0,54,2,3,54,8,6.0,1
143540,Приобрели навыки работы с использованием новых средств общения,0,1,0,0,0,0,62,1,0,62,8,6.888888888888889,1
143540,"Да, повысил свои коммуникативные навыки",0,1,0,0,0,0,39,1,1,39,5,6.5,0
143540,Расширил свои горизонты в дистанционном обучении и проектировании.,0,1,0,0,0,0,66,1,1,66,8,7.333333333333333,2
145046,Анализировать проект,0,1,0,0,0,0,20,1,0,20,2,6.666666666666667,0
145046,в аналитических умениях ,0,1,0,0,0,0,24,0,0,24,3,6.0,1
145046,С агар агаром ,0,1,0,0,0,0,14,1,0,14,3,3.5,1
139853,"Было интересно и полезно как для студентов, так и для наставников. Ссылку на мероприятие отправила членам команды, чтобы потом можно было обсудить. ",0,1,0,0,0,0,148,2,4,148,22,6.434782608695652,12
145919,Узнала много нового и интересного о проекте ,0,1,0,0,0,0,44,1,0,44,7,5.5,3
145919,"Да, это очень важно для меня, я хочу поучаствовать в реализации крутого проекта",0,1,0,0,0,0,79,1,2,79,13,5.642857142857143,3
145919,Пётр Федин и Виталий Генаров познакомил нас с НТИ,0,1,0,0,0,1,49,5,0,49,9,4.9,3
144178,При просмотра вебинара определены основные этапы интенсива.,0,1,0,0,0,0,59,1,1,59,7,7.375,1
144178,"Ценность заключается в том, что были рассмотрены конкретные примеры реализации проектов. Это помогло понять суть проектной деятельности со  студентами.",0,1,0,0,0,0,151,2,3,151,19,7.55,4
144178,"Спасибо, за предоставленную информацию и разъяснения интересующих вопросов.",0,0,0,0,1,0,75,1,2,75,8,8.333333333333334,2
143239,"Вести проектную деятельность, ставить цели и задачи",0,1,0,0,0,0,51,1,1,51,7,6.375,1
143239,"Да, в полученных навыках",0,1,0,0,0,0,24,1,1,24,4,4.8,1
143239,"Да, поделюсь",0,1,0,0,0,0,12,1,1,12,2,4.0,0
143540,Коммуникативной активности,0,1,0,0,0,0,26,1,0,26,2,8.666666666666666,0
143540,"Да, повысил свои коммуникативные навыки",0,1,0,0,0,0,39,1,1,39,5,6.5,0
143540,Познакомился с интересными научными тематиками.,0,1,0,0,0,0,47,1,1,47,5,7.833333333333333,1
47612,"Не давить авторитетом, предоставить возможность команде самостоятельно выстроить опрос",0,1,0,0,0,0,86,1,1,86,9,8.6,1
47612,Ценность есть: команда учится самоорганизации и берет на себя ответственность за качество процесса,0,1,0,0,0,0,98,1,1,98,13,7.0,4
47612,"перед опросом обязательно необходимо познакомить команду с методами интервьюирования, ведения бесед.",0,1,0,0,0,0,100,0,2,100,11,8.333333333333334,2
145169,"Находить информацию в интернете и что самое важное просеивать нужные вещи, необходимые для решения нашего проекта.",0,1,0,0,0,0,114,1,2,114,16,6.705882352941177,4
145169,"Безусловно, ценность в опыте.",0,1,0,0,0,0,29,1,2,29,4,5.8,1
144609,Искать характеристики новых для меня устройств.,0,1,0,0,0,0,47,1,1,47,6,6.714285714285714,2
144609,"Ценность в том, что оно в будущем пригодится",0,1,0,0,0,0,44,1,1,44,8,4.888888888888889,3
144609,Познакомился с новыми специалистами.,0,1,0,0,0,0,36,1,1,36,4,7.2,1
78799,Общение с заказчиком,0,1,0,0,0,0,20,1,0,20,3,5.0,1
78799,"да, позволяет наладить связь с заказчиком",0,1,0,0,0,0,41,0,1,41,6,5.857142857142857,1
78799,желаю всем добра!,0,0,0,0,1,1,17,0,1,17,3,4.25,0
81187,"Работать в команде, генерировать идеи, формулировать грамотно вопросы заказчику. Находить и использовать новые методы для поиска нужной информации.",0,1,0,0,0,0,147,2,4,147,18,7.7368421052631575,3
81187,"Естественно, ценность в получении новых компетенций в данной области.",0,1,0,0,0,0,69,1,2,69,9,6.9,2
81187,"Открыл для себя новые возможности для реализации. Благодаря тому, как была подан информация, получил и обработал значительный объем информации.",0,1,0,0,0,0,143,2,4,143,19,7.15,6
61183,"Я осознал, что нужен подход для систематизации информации от Заказчика, поэтому встречи с ним лучше проводить в формате ""от общего - к частному"". Таким образом, проще выстроить полную картину будущего проекта.",0,1,0,0,0,0,209,3,8,209,31,6.53125,9
61183,"Ценность была, так как команда получила опыт в общении с человеком, который дает реальную практическую задачу.",0,1,0,0,0,0,110,1,3,110,16,6.470588235294118,4
144178,Конкретизировать вопросы. Анализировать полученную информацию.  Направлять студентов мыслить в правильном направлении. ,0,1,0,0,0,1,119,3,3,119,11,9.916666666666666,1
144178,"Ценность заключалась в том, что в сжатые сроки необходимо было активизировать работу студентов. После разъяснения поставленной им задачи, ребята заинтересовались и выполнили все вовремя. Приобрела опыт в организации работы команды в дистанционном режиме.",0,1,0,0,0,0,254,3,5,254,33,7.470588235294118,10
83028,Правильно выстраивать диалог с заказчиком,0,1,0,0,0,0,41,1,0,41,5,6.833333333333333,1
145046,Аналитике ,0,1,0,0,0,1,10,1,0,10,1,5.0,0
145046,"Была , в новых знаниях",0,1,0,0,0,0,22,1,1,22,5,3.6666666666666665,2
145054,немного больше узнал конкретно про филлофору,0,1,0,0,0,0,44,0,0,44,6,6.285714285714286,2
145054,"информация всегда ценна, как никогда",0,1,0,0,0,0,36,0,1,36,5,6.0,3
143540,Формулировать идеи и концентрировать их.,0,1,0,0,0,0,40,1,1,40,5,6.666666666666667,1
143540,Проведёно коллективное обсуждение проблемы.,0,1,0,0,0,0,43,1,1,43,4,8.6,0
143540,"Всё хорошо прошло, будем работать дальше.",0,0,1,0,0,0,41,1,2,41,6,5.857142857142857,1
145088,Были получены новые знания в данной сфере ,0,1,0,0,0,0,42,1,0,42,7,5.25,2
145088,Да. Была усовершенствована работа в группе. Получены новые знания и новые интересные идеи.   ,0,1,0,0,0,1,93,3,3,93,13,6.642857142857143,3
145088,Хотелось бы и дальше изучать интересные стороны данной темы,0,1,0,0,0,0,59,1,0,59,9,5.9,2
144609,Искать и находить разнообразные пути достижения поставленных целей.,0,1,0,0,0,0,67,1,1,67,8,7.444444444444445,1
144178,Генерации идей в над решением конкретной задачи в ограниченный промежуток времени. ,0,1,0,0,0,0,83,1,1,83,11,6.916666666666667,3
144178,Общение со студентами.,0,1,0,0,0,0,22,1,1,22,3,5.5,1
144178,Обобщение и корректировка идей студентов для решения поставленной задачи.,0,1,0,0,0,0,73,1,1,73,9,7.3,2
61183,"Я считаю, что научился лучше делать полезные выводы из описания проблемы, подходить системно к информации о проекте.",0,1,0,0,0,0,116,1,3,116,17,6.444444444444445,6
61183,"Основная ценность - это приобретенный опыт. Подобные мозговые штурмы помогают научиться лучше анализировать поступающую от Заказчика информацию, организовывать мозговые штурмы и извлекать полезные идеи.",0,1,0,0,0,0,202,3,4,202,24,8.08,3
144668,Более продуктивно общаться с людьми.,0,1,0,0,0,0,36,1,1,36,5,6.0,2
144668,"Да, развитие навыков коммуникации.",0,1,0,0,0,0,34,1,2,34,4,6.8,0
144668,Все хорошо. ,0,0,1,0,0,0,12,1,1,12,2,4.0,1
78799,"подбирать людей , знающих своё дело",0,1,0,0,0,0,35,0,1,35,6,5.0,0
78799,"конечно, хорошая команда",0,0,1,0,0,0,24,0,1,24,3,6.0,0
78799,всем добра!,0,0,0,0,1,0,11,0,1,11,2,3.6666666666666665,0
81187,"Работа в команде, что нам и предстоит в дальнейшем.",0,1,0,0,0,0,51,1,2,51,9,5.1,4
81187,"Общение, обмен информацией, поиск информации, разработка и реализация собственных идей.",0,1,0,0,0,0,87,1,4,87,10,7.909090909090909,1
81187,Жду дальнейшего развития событий!,0,1,0,0,0,0,33,1,1,33,4,6.6,0
144679,Работать в команде. Генерировать идеи. Общаться с заказчиком (формулировать грамотно вопросы заказчику,0,1,0,0,0,0,102,3,3,102,12,7.846153846153846,2
144679,Работать в команде. Генерировать идеи. Общаться с заказчиком (формулировать грамотно вопросы заказчику,0,1,0,0,0,0,102,3,3,102,12,7.846153846153846,2
144679,Работать в команде. Генерировать идеи. Общаться с заказчиком (формулировать грамотно вопросы заказчику,0,1,0,0,0,0,102,3,3,102,12,7.846153846153846,2
143540,Произвели формирование команд и заслушали идеи проектов.,0,1,0,0,0,0,56,1,1,56,7,7.0,1
143540,"Да, сформировали команды и заслушали идеи проектов.",0,1,0,0,0,0,51,1,2,51,7,6.375,1
143540,"По итогу были рассмотрены предлагаемые проекты, выбран проект, сформирована команда.",0,1,0,0,0,0,84,1,3,84,10,7.636363636363637,2
144178,Организовывать работу в команде.,0,1,0,0,0,1,32,1,1,32,4,6.4,1
144178,При разработке презентации студенты более четко стали разбираться в проблеме.,0,1,0,0,0,0,77,1,1,77,10,7.0,3
144178,"Ознакомились с банком проектов (в виде презентаций), представленными другими командами. ",0,1,0,0,0,0,88,1,4,88,10,8.0,1
61183,"Я научился оценивать достоинства каждого участника команды, интервьюировать их и оценивать их возможности. ",0,1,0,0,0,0,107,1,2,107,13,7.642857142857143,4
61183,В результате участник мероприятия учится распределять обязанности по членам команды с учетом их возможностей.,0,1,0,0,0,0,109,1,1,109,14,7.266666666666667,4
143540,Грамотно подбирать команду.,0,1,0,0,0,0,27,1,1,27,3,6.75,0
143540,Собрали хороший рабочий коллектив под решение проблемы.,0,1,0,0,0,0,55,1,1,55,7,6.875,1
143540,Научились формировать команды с помощью инструментов проектного интенсива.,0,1,0,0,0,0,74,1,1,74,8,8.222222222222221,1
144178,Курирование команды.,0,1,0,0,0,1,20,1,1,20,2,6.666666666666667,0
144178,"Ценность заключалась в том, что  студенты нашли компромисс и пришли к общему мнению.",0,1,0,0,0,0,84,1,2,84,13,6.0,4
83028,"Работа в команде, организация и планирование рабочей деятельности",0,1,0,0,0,0,65,1,1,65,8,7.222222222222222,2
144679,Работать в команде. Генерировать идеи. Общаться с заказчиком (формулировать грамотно вопросы заказчику,0,1,0,0,0,0,102,3,3,102,12,7.846153846153846,2
144679,Работать в команде. Генерировать идеи. Общаться с заказчиком (формулировать грамотно вопросы заказчику,0,1,0,0,0,0,102,3,3,102,12,7.846153846153846,2
144679,Работать в команде. Генерировать идеи. Общаться с заказчиком (формулировать грамотно вопросы заказчику,0,1,0,0,0,0,102,3,3,102,12,7.846153846153846,2
146492,Контролировать эмоции очень важно,0,1,0,0,0,0,33,1,0,33,4,6.6,0
146492,Интересное занятие,0,1,0,0,0,0,18,1,0,18,2,6.0,0
30810,освоил еще один интерфейс,0,1,0,0,0,0,25,0,0,25,4,5.0,2
30810,освоил еще один интерфейс,0,1,0,0,0,0,25,0,0,25,4,5.0,2
30810,хороший интерфейс,0,0,1,0,0,0,17,0,0,17,2,5.666666666666667,0
81427,0,0,1,0,0,0,0,1,0,0,1,1,0.5,0
81427,"Крайне ценно, решил вопросы с привязкой trello и UntiID в списках команд. Лучше ознакомился с кнопкой саппорта.",0,1,0,0,0,0,111,3,3,111,17,6.166666666666667,5
