untiID,Чему вы научились в рамках курса?
701335,"Оформила страницу в социальной сети, определила целевую аудиторию, сформулировала УТП, освоила навыки создания визуала, научилась писать продающие посты, сформировала контент-план."
1033016,"До начала курса я немного был знаком с основами SMM,  Данные уроки помогли мне более глубже узнать тонкости работы с различными инструментами дизайна, разработки и корректировки текста, а также продвижения. Настоящим открытием для меня стало приложение CANVA, так как до этого я все делал в PHOTOshop"
995121,"Очень много новой информации. Научились составлять контент-план, определять ЦА, подготавливать и оформлять свои социальные сети. Правильно взаимодействовать с ЦА и сообществами."
674661,"Очень полезный курс, научилась грамотно вести страницу, составлять цепляющие заголовки, писать тексты, и самое главное узнала очень много полезных сайтов, сервисов, приложений, необходимых в работе сммщика"
969910,"научилась очень многому благодаря компетенции преподавателя и правильно поданному материалу. Все четко структурировано и понятна логика обучения. Очень полезный курс, ни разу не пожалела о потраченном времени на изучение нового. Хорошо продумано то, что уже во время учебы можно применять полученные знания. Научилась писать тексты, узнала о их структуре и видах. Узнала об очень полезных ресурсах для создания контента, некоторые ""фишки"" и лайфхаки. Очень рада, что есть теперь знания для создания своего продающего и интересного контента."
982068,"Я научилась многому начиная с определения своей целевой аудитории, заканчивая созданием контента с помощью программ, которые увидела впервые в жизни.&nbsp;"
1056591,"Научилась определять свою целевую аудиторию для продвижения своей страницы в  Instagram. Узнала что такое позиционирование  и как его найти. Узнала с помощью каких методов social proof можно развивать свой аккаунт. Узнала, что контент бывает трех типов и научилась грамотно каждый из типов составлять. Научилась использовать разные сервисы и программы по созданию эксклюзивных шаблонов для своего аккаунта."
594326,"Самой полезной информацией для меня стали разделы по оформлению ленты в инстаграме, подготовке шаблонов, поиску фирменного стиля. Также очень полезно было освежить свои знания по копирайтингу."
961468,Анализировать свою ЦА Формировать свой контент-план Писать продающие посты Создавать фото и видео контент для инстаграм Освоила много приложений для обработки фото и видео Виды продвижения в инстаграм
884688,Научилась интернет-маркетингу в соц.сетях с технической и теоритической стороны. Научилась работать в программах и приложениях для ведения соц.сетей.
637703,"Находить свою ЦА, составлять полезные/ продающие посты, красиво оформлять профиль, создавать анимированные посты, сторис. Также научилась редактировать текст, проверяя его не только на орфографию, но ещё на чистоту и читаемость. Поняла важность составления контент-плана."
373635,"Данный курс мне дал очень много полезной информации. Социальные сети открылись для меня совсем с другой стороны. Ранее я не знал про существование такого полезного сайта как канва. Советы по продвижению своего продукты, социальных сетей, написанию правильных продающих текстов мне очень будут полезны."
