eventUUID,eventTitle,a_title,startDate,startTime,endDate,endTime,untiID,feedbackQuestionID,question,value,data,Unnamed: 12,Unnamed: 13,Unnamed: 14
79c430a6-086c-43dd-a915-92e6239670d6,Введение в Искусственный интеллект,Вебинар демодня,2020-04-08,15:00:00,2020-04-08,15:10:00,10003,44,"Насколько вероятно, что Вы порекомендуете мероприятие знакомым? Пожалуйста, оцените по шкале от 0 до 10",7,,,,
79c430a6-086c-43dd-a915-92e6239670d6,Введение в Искусственный интеллект,Вебинар демодня,2020-04-08,15:00:00,2020-04-08,15:10:00,10003,46,"Перечислите основные этапы деятельности, в которую вы были вовлечены и благодаря этому приобретали новые или развивали существующие компетенции",lksdf,,,,
79c430a6-086c-43dd-a915-92e6239670d6,Введение в Искусственный интеллект,Вебинар демодня,2020-04-08,15:00:00,2020-04-08,15:10:00,10003,43,"Чему новому, как вам кажется, вы научились?",xcxc,,,,
79c430a6-086c-43dd-a915-92e6239670d6,Введение в Искусственный интеллект,Вебинар демодня,2020-04-08,15:00:00,2020-04-08,15:10:00,10003,55,Была ли в этом ценность и в чем она выражается?,dfxfgd,,,,
79c430a6-086c-43dd-a915-92e6239670d6,Введение в Искусственный интеллект,Вебинар демодня,2020-04-08,15:00:00,2020-04-08,15:10:00,10003,45,"Поделитесь вашими комментариями или пожеланиями по поводу того, с чем вы познакомились?",dfhjdh,,,,
79c430a6-086c-43dd-a915-92e6239670d6,Введение в Искусственный интеллект,Вебинар демодня,2020-04-08,15:00:00,2020-04-08,15:10:00,26064,44,"Насколько вероятно, что Вы порекомендуете мероприятие знакомым? Пожалуйста, оцените по шкале от 0 до 10",10,,,,
79c430a6-086c-43dd-a915-92e6239670d6,Введение в Искусственный интеллект,Вебинар демодня,2020-04-08,15:00:00,2020-04-08,15:10:00,26064,46,"Перечислите основные этапы деятельности, в которую вы были вовлечены и благодаря этому приобретали новые или развивали существующие компетенции",Слушал Виталю,,,,
79c430a6-086c-43dd-a915-92e6239670d6,Введение в Искусственный интеллект,Вебинар демодня,2020-04-08,15:00:00,2020-04-08,15:10:00,26064,43,"Чему новому, как вам кажется, вы научились?",кажется ничему,,,,
79c430a6-086c-43dd-a915-92e6239670d6,Введение в Искусственный интеллект,Вебинар демодня,2020-04-08,15:00:00,2020-04-08,15:10:00,26064,55,Была ли в этом ценность и в чем она выражается?,кажется нет,,,,
79c430a6-086c-43dd-a915-92e6239670d6,Введение в Искусственный интеллект,Вебинар демодня,2020-04-08,15:00:00,2020-04-08,15:10:00,26064,45,"Поделитесь вашими комментариями или пожеланиями по поводу того, с чем вы познакомились?",хороший демодей!,,,,
79c430a6-086c-43dd-a915-92e6239670d6,Введение в Искусственный интеллект,Вебинар демодня,2020-04-08,15:00:00,2020-04-08,15:10:00,82017,44,"Насколько вероятно, что Вы порекомендуете мероприятие знакомым? Пожалуйста, оцените по шкале от 0 до 10",10,,,,
79c430a6-086c-43dd-a915-92e6239670d6,Введение в Искусственный интеллект,Вебинар демодня,2020-04-08,15:00:00,2020-04-08,15:10:00,82017,46,"Перечислите основные этапы деятельности, в которую вы были вовлечены и благодаря этому приобретали новые или развивали существующие компетенции","Узнала основные принципы работы с инструментами, разобрала кейсы и решила новый",,,,
79c430a6-086c-43dd-a915-92e6239670d6,Введение в Искусственный интеллект,Вебинар демодня,2020-04-08,15:00:00,2020-04-08,15:10:00,82017,43,"Чему новому, как вам кажется, вы научились?",Научилась много чему новому,,,,
79c430a6-086c-43dd-a915-92e6239670d6,Введение в Искусственный интеллект,Вебинар демодня,2020-04-08,15:00:00,2020-04-08,15:10:00,82017,55,Была ли в этом ценность и в чем она выражается?,Однозначно была,,,,
79c430a6-086c-43dd-a915-92e6239670d6,Введение в Искусственный интеллект,Вебинар демодня,2020-04-08,15:00:00,2020-04-08,15:10:00,82017,45,"Поделитесь вашими комментариями или пожеланиями по поводу того, с чем вы познакомились?",,,,,
79c430a6-086c-43dd-a915-92e6239670d6,Введение в Искусственный интеллект,Вебинар демодня,2020-04-08,15:00:00,2020-04-08,15:10:00,83860,44,"Насколько вероятно, что Вы порекомендуете мероприятие знакомым? Пожалуйста, оцените по шкале от 0 до 10",9,,,,
79c430a6-086c-43dd-a915-92e6239670d6,Введение в Искусственный интеллект,Вебинар демодня,2020-04-08,15:00:00,2020-04-08,15:10:00,83860,46,"Перечислите основные этапы деятельности, в которую вы были вовлечены и благодаря этому приобретали новые или развивали существующие компетенции","Слушали, бежали, читали инструкции )",,,,
79c430a6-086c-43dd-a915-92e6239670d6,Введение в Искусственный интеллект,Вебинар демодня,2020-04-08,15:00:00,2020-04-08,15:10:00,83860,43,"Чему новому, как вам кажется, вы научились?",Привязке доски trello к P&T,,,,
79c430a6-086c-43dd-a915-92e6239670d6,Введение в Искусственный интеллект,Вебинар демодня,2020-04-08,15:00:00,2020-04-08,15:10:00,83860,55,Была ли в этом ценность и в чем она выражается?,"В новом знании о том, как тяжело нашим студентам...",,,,
79c430a6-086c-43dd-a915-92e6239670d6,Введение в Искусственный интеллект,Вебинар демодня,2020-04-08,15:00:00,2020-04-08,15:10:00,83860,45,"Поделитесь вашими комментариями или пожеланиями по поводу того, с чем вы познакомились?",0,,,,
8e62e9ff-7c2b-4a39-96c6-de9a72d72df2,CustDev,Вебинар демодня,2020-04-08,15:00:00,2020-04-08,15:10:00,10900,44,"Насколько вероятно, что Вы порекомендуете мероприятие знакомым? Пожалуйста, оцените по шкале от 0 до 10",1,,,,
